DATE,PERIOD,CATEGORY,ACTIVE_USERS,NUMBER_OF_SWAPS,TXN_PER_USER,VOLUME_USD
2024-03-26 00:00:00.000,0.15% fee,Whale,209,1164,5.569378,474549359.3
2024-03-27 00:00:00.000,0.15% fee,Retail User,210815,808663,3.835889,2475176486.61
2024-03-27 00:00:00.000,0.15% fee,Whale,229,1186,5.179039,366409158.82
2024-03-28 00:00:00.000,0.15% fee,Retail User,219922,731780,3.327452,1971494800.6
2024-03-28 00:00:00.000,0.15% fee,Whale,205,897,4.37561,217182255.3
2024-03-29 00:00:00.000,0.15% fee,Retail User,218875,698724,3.192343,1813546554.61
2024-03-29 00:00:00.000,0.15% fee,Whale,187,1029,5.502674,295979176.45
2024-03-30 00:00:00.000,0.15% fee,Retail User,214826,630210,2.933583,1537384336.2
2024-03-30 00:00:00.000,0.15% fee,Whale,167,752,4.502994,178631516.89
2024-03-31 00:00:00.000,0.15% fee,Retail User,221198,658755,2.978124,1612449066.31
2024-03-31 00:00:00.000,0.15% fee,Whale,124,630,5.080645,183864977.78
2024-04-01 00:00:00.000,0.15% fee,Retail User,219206,773331,3.527873,2225384857.7
2024-04-01 00:00:00.000,0.15% fee,Whale,193,1052,5.450777,240532011.76
2024-04-02 00:00:00.000,0.15% fee,Retail User,219606,890168,4.053478,3379367702.03
2024-04-02 00:00:00.000,0.15% fee,Whale,414,1793,4.330918,620196017.57
2024-04-03 00:00:00.000,0.15% fee,Retail User,213278,817178,3.831516,2429921445.9
2024-04-03 00:00:00.000,0.15% fee,Whale,263,1194,4.539924,429249457.03
2024-04-04 00:00:00.000,0.15% fee,Retail User,215692,815892,3.782672,2158411657.67
2024-04-04 00:00:00.000,0.15% fee,Whale,229,858,3.746725,256471710.03
2024-04-05 00:00:00.000,0.15% fee,Retail User,211131,871114,4.125941,2126323453.99
2024-04-05 00:00:00.000,0.15% fee,Whale,196,930,4.744898,217289255.75
2024-04-06 00:00:00.000,0.15% fee,Retail User,202780,754337,3.719977,1300052750.06
2024-04-06 00:00:00.000,0.15% fee,Whale,148,589,3.97973,183023699.36
2024-04-07 00:00:00.000,0.15% fee,Retail User,210958,828249,3.926132,1687182723.94
2024-04-07 00:00:00.000,0.15% fee,Whale,175,932,5.325714,296965446.86
2024-04-08 00:00:00.000,0.15% fee,Retail User,234431,997974,4.257005,2577572044.22
2024-04-08 00:00:00.000,0.15% fee,Whale,302,1710,5.662252,564645704.58
2024-04-09 00:00:00.000,0.15% fee,Retail User,211243,975988,4.620215,2575101998.3
2024-04-09 00:00:00.000,0.15% fee,Whale,270,1341,4.966667,522095675.04
2024-04-10 00:00:00.000,0.15% fee,Retail User,211553,974410,4.605985,2426796142.06
2024-04-10 00:00:00.000,0.15% fee,Whale,242,1440,5.950413,452532943.66
2024-04-11 00:00:00.000,0.15% fee,Retail User,207131,876165,4.230004,2244868225.04
2024-04-11 00:00:00.000,0.15% fee,Whale,218,1161,5.325688,448919410.61
2024-04-12 00:00:00.000,0.15% fee,Retail User,205172,939491,4.579041,3128222866.65
2024-04-12 00:00:00.000,0.15% fee,Whale,309,1446,4.679612,510581476.67
2024-04-13 00:00:00.000,0.15% fee,Retail User,189386,1018065,5.375609,3989255089.25
2024-04-13 00:00:00.000,0.15% fee,Whale,325,1456,4.48,505541288.25
2024-04-14 00:00:00.000,0.15% fee,Retail User,177606,1036718,5.837179,2923624323.91
2024-04-14 00:00:00.000,0.15% fee,Whale,220,1443,6.559091,320606362.63
2024-04-15 00:00:00.000,0.25% fee,Retail User,178642,1019035,5.704342,2845897209.01
2024-04-15 00:00:00.000,0.25% fee,Whale,205,1356,6.614634,341494819.15
2024-04-16 00:00:00.000,0.25% fee,Retail User,173337,988267,5.70142,2538725974.76
2024-04-16 00:00:00.000,0.25% fee,Whale,200,1539,7.695,365648443.68
2024-04-17 00:00:00.000,0.25% fee,Retail User,166274,850919,5.117571,2148952173.36
2024-04-17 00:00:00.000,0.25% fee,Whale,210,1099,5.233333,276687574.97
2024-04-18 00:00:00.000,0.25% fee,Retail User,162893,872068,5.353625,2015731431.74
2024-04-18 00:00:00.000,0.25% fee,Whale,163,980,6.01227,214604506
2024-04-19 00:00:00.000,0.25% fee,Retail User,174991,1072512,6.128955,2846396060.83
2024-04-19 00:00:00.000,0.25% fee,Whale,217,1336,6.156682,302671666.71
2024-04-20 00:00:00.000,0.25% fee,Retail User,182103,884903,4.859354,1362136495.08
2024-04-20 00:00:00.000,0.25% fee,Whale,130,651,5.007692,131195715.83
2024-04-21 00:00:00.000,0.25% fee,Retail User,180345,874309,4.84798,1337639616.41
2024-04-21 00:00:00.000,0.25% fee,Whale,112,654,5.839286,121336266.29
2024-04-22 00:00:00.000,0.25% fee,Retail User,191222,957205,5.005726,1881413636.15
2024-04-22 00:00:00.000,0.25% fee,Whale,160,903,5.64375,191505848.09
2024-04-23 00:00:00.000,0.25% fee,Retail User,189829,865973,4.561858,1566358384.37
2024-04-23 00:00:00.000,0.25% fee,Whale,196,834,4.255102,195103797.23
2024-04-24 00:00:00.000,0.25% fee,Retail User,188646,902512,4.784157,2070978204.52
2024-04-24 00:00:00.000,0.25% fee,Whale,234,1569,6.705128,418177920.58
2024-04-25 00:00:00.000,0.25% fee,Retail User,193100,894340,4.631486,1941823688.97
2024-04-25 00:00:00.000,0.25% fee,Whale,196,1158,5.908163,272103081.57
2024-04-26 00:00:00.000,0.25% fee,Retail User,189874,838927,4.418335,1527399145.08
2024-04-26 00:00:00.000,0.25% fee,Whale,182,994,5.461538,243418881.3
2024-04-27 00:00:00.000,0.25% fee,Retail User,174492,833079,4.774311,1539551805.01
2024-04-27 00:00:00.000,0.25% fee,Whale,172,790,4.593023,207018057.05
2024-04-28 00:00:00.000,0.25% fee,Retail User,162877,763070,4.684946,1442194392.44
2024-04-28 00:00:00.000,0.25% fee,Whale,159,827,5.201258,213697653.32
2024-04-29 00:00:00.000,0.25% fee,Retail User,157286,833408,5.298679,1812455729.68
2024-04-29 00:00:00.000,0.25% fee,Whale,174,1024,5.885057,293863093.24
2024-04-30 00:00:00.000,0.25% fee,Retail User,157673,888944,5.637896,2420855433.05
2024-04-30 00:00:00.000,0.25% fee,Whale,256,1236,4.828125,370700896.86
2024-05-01 00:00:00.000,0.25% fee,Retail User,162628,1003417,6.170014,2486870502.5
2024-05-01 00:00:00.000,0.25% fee,Whale,261,1255,4.808429,316486176.63
2024-05-02 00:00:00.000,0.25% fee,Retail User,151727,842430,5.552275,1657362241.62
2024-05-02 00:00:00.000,0.25% fee,Whale,169,1091,6.455621,292573280.1
2024-05-03 00:00:00.000,0.25% fee,Retail User,151388,727684,4.806748,1629400186.89
2024-05-03 00:00:00.000,0.25% fee,Whale,162,1021,6.302469,299656583.18
2024-05-04 00:00:00.000,0.25% fee,Retail User,152413,731187,4.797406,1137068881.49
2024-05-04 00:00:00.000,0.25% fee,Whale,147,886,6.027211,149895860.04
2024-05-05 00:00:00.000,0.25% fee,Retail User,147560,703510,4.76762,1046339054.47
