DATE,CHAIN,PERIOD,VOLUME_USD,SWAPS,UNIQUE_SWAPPERS,ACTIVE_POOLS
2023-06-22 00:00:00.000,Arbitrum,no fee,245871105.08,104298,29622,569
2023-06-22 00:00:00.000,BSC,no fee,2058987.91,18670,10341,176
2023-06-22 00:00:00.000,Ethereum,no fee,967993057.99,163242,50887,5280
2023-06-22 00:00:00.000,Optimism,no fee,8767049.92,45281,13404,242
2023-06-22 00:00:00.000,Polygon,no fee,61348094.35,84056,20352,856
2023-06-23 00:00:00.000,Arbitrum,no fee,273727815.35,104985,28974,575
2023-06-23 00:00:00.000,Avalanche,no fee,243.38,10,3,3
2023-06-23 00:00:00.000,BSC,no fee,2057999.89,18159,10880,164
2023-06-23 00:00:00.000,Ethereum,no fee,897032164.6,173605,48786,4871
2023-06-23 00:00:00.000,Optimism,no fee,6817892.49,42792,14427,235
2023-06-23 00:00:00.000,Polygon,no fee,60155030.5,80136,19800,764
2023-06-24 00:00:00.000,Arbitrum,no fee,139738099.48,74659,25547,562
2023-06-24 00:00:00.000,Avalanche,no fee,167.41,5,4,3
2023-06-24 00:00:00.000,BSC,no fee,2973138.63,15762,9317,167
2023-06-24 00:00:00.000,Ethereum,no fee,430816975.33,139439,41744,4989
2023-06-24 00:00:00.000,Optimism,no fee,4196275.81,36504,11167,223
2023-06-24 00:00:00.000,Polygon,no fee,37932702.06,69138,17447,768
2023-06-25 00:00:00.000,Arbitrum,no fee,202480185.7,92009,27421,560
2023-06-25 00:00:00.000,Avalanche,no fee,204.29,6,3,3
2023-06-25 00:00:00.000,BSC,no fee,3394163.94,16202,9766,171
2023-06-25 00:00:00.000,Ethereum,no fee,576619154.22,141536,39814,5072
2023-06-25 00:00:00.000,Optimism,no fee,8418742.54,49768,13388,257
2023-06-25 00:00:00.000,Polygon,no fee,51125884.32,83090,19763,796
2023-06-26 00:00:00.000,Arbitrum,no fee,307125195.27,130056,36457,565
2023-06-26 00:00:00.000,Avalanche,no fee,180.83,6,6,2
2023-06-26 00:00:00.000,BSC,no fee,3507905.3,16217,8919,170
2023-06-26 00:00:00.000,Ethereum,no fee,773050991.39,146328,42932,4953
2023-06-26 00:00:00.000,Optimism,no fee,5795891.46,46757,13396,242
2023-06-26 00:00:00.000,Polygon,no fee,55376923.91,82443,22903,806
2023-06-27 00:00:00.000,Arbitrum,no fee,292397044.63,127670,40691,581
2023-06-27 00:00:00.000,Avalanche,no fee,37.01,4,2,3
2023-06-27 00:00:00.000,BSC,no fee,2894773.6,14474,8369,177
2023-06-27 00:00:00.000,Ethereum,no fee,748565566.18,153788,47863,4924
2023-06-27 00:00:00.000,Optimism,no fee,4888907.71,43932,15793,244
2023-06-27 00:00:00.000,Polygon,no fee,45915543.45,85599,25316,759
2023-06-28 00:00:00.000,Arbitrum,no fee,245704318.69,107362,31918,558
2023-06-28 00:00:00.000,Avalanche,no fee,398.18,11,8,3
2023-06-28 00:00:00.000,BSC,no fee,2726660.59,15874,8523,182
2023-06-28 00:00:00.000,Ethereum,no fee,617619248,183257,48511,4900
2023-06-28 00:00:00.000,Optimism,no fee,4835189.41,45324,15417,248
2023-06-28 00:00:00.000,Polygon,no fee,64331535.84,86181,21510,838
2023-06-29 00:00:00.000,Arbitrum,no fee,165368858.95,99789,39565,549
2023-06-29 00:00:00.000,Avalanche,no fee,208.78,9,5,3
2023-06-29 00:00:00.000,BSC,no fee,1346636.68,17692,10629,174
2023-06-29 00:00:00.000,Ethereum,no fee,574109711.69,220554,52149,4777
2023-06-29 00:00:00.000,Optimism,no fee,6257272.01,42567,16121,253
2023-06-29 00:00:00.000,Polygon,no fee,37396138.04,81021,25644,785
2023-06-30 00:00:00.000,Arbitrum,no fee,494259921.57,156029,38937,573
2023-06-30 00:00:00.000,Avalanche,no fee,572.26,14,9,3
2023-06-30 00:00:00.000,BSC,no fee,6606556.12,21151,10825,181
2023-06-30 00:00:00.000,Ethereum,no fee,1323027017.18,193103,51291,4997
2023-06-30 00:00:00.000,Optimism,no fee,14277275.74,57937,16421,252
2023-06-30 00:00:00.000,Polygon,no fee,116820659.99,117471,27118,849
2023-07-01 00:00:00.000,Arbitrum,no fee,119268960.09,87421,37000,536
2023-07-01 00:00:00.000,Avalanche,no fee,2265.72,14,7,2
2023-07-01 00:00:00.000,BSC,no fee,4664593.62,15477,8165,264
2023-07-01 00:00:00.000,Ethereum,no fee,488509060.13,181716,47197,5132
2023-07-01 00:00:00.000,Optimism,no fee,4256464.42,41650,17488,244
2023-07-01 00:00:00.000,Polygon,no fee,34752515.68,75488,22606,776
2023-07-02 00:00:00.000,Arbitrum,no fee,181942526.95,93257,35740,562
2023-07-02 00:00:00.000,Avalanche,no fee,141.65,4,4,2
2023-07-02 00:00:00.000,BSC,no fee,3886564.79,13440,7496,200
2023-07-02 00:00:00.000,Ethereum,no fee,481310809.46,171390,43610,5210
2023-07-02 00:00:00.000,Optimism,no fee,4938978.14,49209,18335,236
2023-07-02 00:00:00.000,Polygon,no fee,47630027.3,77113,22618,787
2023-07-03 00:00:00.000,Arbitrum,no fee,224025119.85,109507,42590,565
2023-07-03 00:00:00.000,Avalanche,no fee,4678.31,21,8,3
2023-07-03 00:00:00.000,BSC,no fee,5458029.77,16276,8909,167
2023-07-03 00:00:00.000,Ethereum,no fee,739869001.84,190561,50768,5162
2023-07-03 00:00:00.000,Optimism,no fee,5982567.48,49200,21061,245
2023-07-03 00:00:00.000,Polygon,no fee,50780883.64,92336,28335,880
2023-07-04 00:00:00.000,Arbitrum,no fee,164552407.43,91465,35719,542
2023-07-04 00:00:00.000,Avalanche,no fee,32.86,1,1,1
2023-07-04 00:00:00.000,BSC,no fee,2909747.97,13360,7867,174
2023-07-04 00:00:00.000,Ethereum,no fee,535906962.24,155490,45070,4792
2023-07-04 00:00:00.000,Optimism,no fee,4981666.76,43332,17786,260
2023-07-04 00:00:00.000,Polygon,no fee,41658074.97,72715,21854,848
2023-07-05 00:00:00.000,Arbitrum,no fee,145324109.73,70199,27065,509
2023-07-05 00:00:00.000,Avalanche,no fee,3062.46,16,9,3
2023-07-05 00:00:00.000,BSC,no fee,3174307.92,14933,8656,177
2023-07-05 00:00:00.000,Ethereum,no fee,614772351.61,140407,39564,3646
2023-07-05 00:00:00.000,Optimism,no fee,3235862.46,33083,13256,232
2023-07-05 00:00:00.000,Polygon,no fee,48303920.86,71716,21682,901
2023-07-06 00:00:00.000,Arbitrum,no fee,258138348.18,94254,28863,522
2023-07-06 00:00:00.000,Avalanche,no fee,1256.81,43,15,5
2023-07-06 00:00:00.000,BSC,no fee,4101125.57,16506,9080,188
2023-07-06 00:00:00.000,Ethereum,no fee,799237189.53,198713,51754,4602
2023-07-06 00:00:00.000,Optimism,no fee,5241393.84,41913,13813,237
2023-07-06 00:00:00.000,Polygon,no fee,73372072.98,91146,24941,847
2023-07-07 00:00:00.000,Arbitrum,no fee,172959662.69,79011,28041,545
2023-07-07 00:00:00.000,Avalanche,no fee,322.08,9,5,2
2023-07-07 00:00:00.000,BSC,no fee,2241554.36,14352,8545,162
2023-07-07 00:00:00.000,Ethereum,no fee,551760587.27,244142,56497,5097
2023-07-07 00:00:00.000,Optimism,no fee,2697388.43,31822,11209,244
2023-07-07 00:00:00.000,Polygon,no fee,42219898.96,73713,23641,802
2023-07-08 00:00:00.000,Arbitrum,no fee,84308309.13,63542,29508,553
2023-07-08 00:00:00.000,Avalanche,no fee,381.44,18,11,3
2023-07-08 00:00:00.000,BSC,no fee,2236717.06,12595,8071,162
2023-07-08 00:00:00.000,Ethereum,no fee,349738718.86,214385,52902,5450
2023-07-08 00:00:00.000,Optimism,no fee,1955611.96,32029,13472,242
2023-07-08 00:00:00.000,Polygon,no fee,21868072.09,57567,21749,783
2023-07-09 00:00:00.000,Arbitrum,no fee,96266226.26,59097,25501,516
2023-07-09 00:00:00.000,Avalanche,no fee,898.26,14,8,3
2023-07-09 00:00:00.000,BSC,no fee,1001329.11,11851,7481,241
2023-07-09 00:00:00.000,Ethereum,no fee,340784187.95,208233,49049,5384
2023-07-09 00:00:00.000,Optimism,no fee,1605113.48,33865,15643,234
2023-07-09 00:00:00.000,Polygon,no fee,29945583.01,64034,23890,799
2023-07-10 00:00:00.000,Arbitrum,no fee,162330829.94,79474,29287,565
2023-07-10 00:00:00.000,Avalanche,no fee,576.11,12,5,3
2023-07-10 00:00:00.000,BSC,no fee,7114872.41,18234,9837,256
2023-07-10 00:00:00.000,Ethereum,no fee,582627342.23,204850,53097,5226
2023-07-10 00:00:00.000,Optimism,no fee,3699045.65,38820,13892,249
2023-07-10 00:00:00.000,Polygon,no fee,62280912.21,89470,26682,957
2023-07-11 00:00:00.000,Arbitrum,no fee,114947003.73,68478,29054,548
2023-07-11 00:00:00.000,Avalanche,no fee,91.48,4,3,2
2023-07-11 00:00:00.000,BSC,no fee,3890653.38,16702,9990,173
2023-07-11 00:00:00.000,Ethereum,no fee,418008229.55,206486,52062,5290
2023-07-11 00:00:00.000,Optimism,no fee,3141014.74,33409,13766,254
2023-07-11 00:00:00.000,Polygon,no fee,42243017.62,72529,24753,790
2023-07-12 00:00:00.000,Arbitrum,no fee,153999334.96,71386,27802,543
2023-07-12 00:00:00.000,Avalanche,no fee,4541.04,112,55,11
2023-07-12 00:00:00.000,BSC,no fee,3066355.64,17477,10619,179
2023-07-12 00:00:00.000,Ethereum,no fee,553092031.03,202079,54477,5082
2023-07-12 00:00:00.000,Optimism,no fee,4343584.85,34631,13569,249
2023-07-12 00:00:00.000,Polygon,no fee,59271735.42,75753,25939,819
2023-07-13 00:00:00.000,Arbitrum,no fee,327979291.43,101295,28396,576
2023-07-13 00:00:00.000,Avalanche,no fee,332737.69,718,222,21
2023-07-13 00:00:00.000,BSC,no fee,7134396.03,22621,11404,194
2023-07-13 00:00:00.000,Ethereum,no fee,1129416062.3,207429,54098,5206
2023-07-13 00:00:00.000,Optimism,no fee,8580598.87,46485,17175,263
2023-07-13 00:00:00.000,Polygon,no fee,122585808.96,110572,28078,1027
2023-07-14 00:00:00.000,Arbitrum,no fee,404399044.77,139414,31567,573
2023-07-14 00:00:00.000,Avalanche,no fee,8447368.62,7358,291,21
2023-07-14 00:00:00.000,BSC,no fee,6226882.09,22549,11041,200
2023-07-14 00:00:00.000,Ethereum,no fee,947576688.91,189770,55351,5400
2023-07-14 00:00:00.000,Optimism,no fee,29740853.84,67330,17990,266
2023-07-14 00:00:00.000,Polygon,no fee,106979521.56,113678,28136,963
2023-07-15 00:00:00.000,Arbitrum,no fee,172969250.57,91174,27483,555
2023-07-15 00:00:00.000,Avalanche,no fee,3158394.68,2511,197,18
2023-07-15 00:00:00.000,BSC,no fee,2063607.02,17133,10448,182
2023-07-15 00:00:00.000,Ethereum,no fee,386610610.11,178126,48215,5362
2023-07-15 00:00:00.000,Optimism,no fee,10240832.02,58857,24788,264
2023-07-15 00:00:00.000,Polygon,no fee,33238691.72,68096,23528,832
2023-07-16 00:00:00.000,Arbitrum,no fee,161030581.23,81624,24896,540
2023-07-16 00:00:00.000,Avalanche,no fee,2241229.76,2062,359,18
2023-07-16 00:00:00.000,BSC,no fee,2073110.45,17568,10829,216
2023-07-16 00:00:00.000,Ethereum,no fee,337470624.58,211363,50577,5222
2023-07-16 00:00:00.000,Optimism,no fee,7356384.8,50111,19940,251
2023-07-16 00:00:00.000,Polygon,no fee,34032960.99,66991,23446,905
2023-07-17 00:00:00.000,Arbitrum,no fee,280446945.44,113410,26536,548
2023-07-17 00:00:00.000,Avalanche,no fee,3297610.79,2887,373,18
2023-07-17 00:00:00.000,BSC,no fee,4822944.51,19975,10768,222
2023-07-17 00:00:00.000,Ethereum,no fee,703351200.33,228534,56415,5061
2023-07-17 00:00:00.000,Optimism,no fee,9337773.16,49489,14117,251
2023-07-17 00:00:00.000,Polygon,no fee,60267909.32,90350,25928,864
2023-07-18 00:00:00.000,Arbitrum,no fee,225233349.62,90813,26283,542
2023-07-18 00:00:00.000,Avalanche,no fee,2635423.64,2617,485,19
2023-07-18 00:00:00.000,BSC,no fee,4908039.84,19482,11000,200
2023-07-18 00:00:00.000,Ethereum,no fee,564617467.36,197696,58021,4617
2023-07-18 00:00:00.000,Optimism,no fee,8685405.54,47611,15947,258
2023-07-18 00:00:00.000,Polygon,no fee,46199323.78,80850,29871,918
2023-07-19 00:00:00.000,Arbitrum,no fee,193550488.23,81832,27186,541
2023-07-19 00:00:00.000,Avalanche,no fee,2479502.8,2805,785,20
2023-07-19 00:00:00.000,BSC,no fee,2658789.56,17034,10287,205
2023-07-19 00:00:00.000,Ethereum,no fee,515401288.27,224054,58153,4990
2023-07-19 00:00:00.000,Optimism,no fee,10162147.69,47664,15577,251
2023-07-19 00:00:00.000,Polygon,no fee,45706967.77,71277,23014,848
2023-07-20 00:00:00.000,Arbitrum,no fee,187091998.57,78572,24456,551
2023-07-20 00:00:00.000,Avalanche,no fee,2173320.88,3664,1779,23
2023-07-20 00:00:00.000,BSC,no fee,2822615.76,17467,10587,195
2023-07-20 00:00:00.000,Ethereum,no fee,639678958.29,233938,60320,4917
2023-07-20 00:00:00.000,Optimism,no fee,10406686.48,44642,13721,262
2023-07-20 00:00:00.000,Polygon,no fee,57037355.7,82684,22102,926
2023-07-21 00:00:00.000,Arbitrum,no fee,119781588.53,63442,23923,517
2023-07-21 00:00:00.000,Avalanche,no fee,1601094.33,3981,2346,23
2023-07-21 00:00:00.000,BSC,no fee,1269116.37,16584,10640,190
2023-07-21 00:00:00.000,Ethereum,no fee,446684004.22,230540,57289,4825
2023-07-21 00:00:00.000,Optimism,no fee,6768696.44,37084,12789,264
2023-07-21 00:00:00.000,Polygon,no fee,34239192.94,67171,23023,889
2023-07-22 00:00:00.000,Arbitrum,no fee,75509440.34,52784,23678,541
2023-07-22 00:00:00.000,Avalanche,no fee,1648812.43,4706,3077,26
2023-07-22 00:00:00.000,BSC,no fee,1597809.2,17584,11242,191
2023-07-22 00:00:00.000,Ethereum,no fee,460046615.39,227540,56671,5099
2023-07-22 00:00:00.000,Optimism,no fee,5017943.7,36299,12132,246
2023-07-22 00:00:00.000,Polygon,no fee,25324626.24,55915,26085,884
2023-07-23 00:00:00.000,Arbitrum,no fee,99209567.83,63285,26799,546
2023-07-23 00:00:00.000,Avalanche,no fee,1424996.06,4006,2461,31
2023-07-23 00:00:00.000,BSC,no fee,1491310,19283,12043,215
2023-07-23 00:00:00.000,Ethereum,no fee,359133632.24,236929,57579,5097
2023-07-23 00:00:00.000,Optimism,no fee,6706060.19,39544,13112,282
2023-07-23 00:00:00.000,Polygon,no fee,22849137.72,51725,23155,901
2023-07-24 00:00:00.000,Arbitrum,no fee,152627098.46,69939,25810,558
2023-07-24 00:00:00.000,Avalanche,no fee,5402357.53,4876,2349,22
2023-07-24 00:00:00.000,BSC,no fee,3533392.5,20801,12088,218
