DATE,DEX,NUMBER_OF_SWAPS,PCT_SHARE
2023-10-21 00:00:00.000,dodo,3797.0,0.5355377309391868
2023-10-21 00:00:00.000,fraxswap,412.0,0.05810944038634315
2023-10-21 00:00:00.000,gmx,1997.0,0.28166153507652253
2023-10-21 00:00:00.000,hashflow,2369.0,0.33412928222147315
2023-10-21 00:00:00.000,kyberswap,4878.0,0.6880044907878201
2023-10-21 00:00:00.000,level-finance,25.0,0.0035260582758703373
2023-10-21 00:00:00.000,maverick,5517.0,0.7781305403190659
2023-10-21 00:00:00.000,pancakeswap,366450.0,51.6849622077074
2023-10-21 00:00:00.000,pangolin,2608.0,0.3678383993387936
2023-10-21 00:00:00.000,quickswap,48566.0,6.849861849036751
2023-10-21 00:00:00.000,ramses-v2,3481.0,0.49096835433218566
2023-10-21 00:00:00.000,sparta,586.0,0.08265080598640069
2023-10-21 00:00:00.000,sushiswap,16615.0,2.343418330143426
2023-10-21 00:00:00.000,swapbased,1192.0,0.16812245859349767
2023-10-21 00:00:00.000,synthetix,12.0,0.001692507972417762
2023-10-21 00:00:00.000,trader joe,13948.0,1.9672584332735783
2023-10-21 00:00:00.000,uniswap,170015.0,23.979311910883812
2023-10-21 00:00:00.000,velodrome,7214.0,1.0174793760851444
2023-10-21 00:00:00.000,voodoo,2.0,0.0002820846620696269
2023-10-21 00:00:00.000,woofi,13238.0,1.867118378238861
2023-10-21 00:00:00.000,zyberswap,1003.0,0.1414654580279179
2023-10-22 00:00:00.000,aerodrome,5152.0,0.6877714975316587
2023-10-22 00:00:00.000,alienbase,917.0,0.12241585078348816
2023-10-22 00:00:00.000,balancer,8621.0,1.150869192589369
2023-10-22 00:00:00.000,baseswap,11968.0,1.5976803731480766
2023-10-22 00:00:00.000,beethoven-x,541.0,0.0722213470816435
2023-10-22 00:00:00.000,biswap,10182.0,1.3592564805643144
2023-10-22 00:00:00.000,camelot,7299.0,0.9743874535100108
2023-10-22 00:00:00.000,curve,2318.0,0.3094437754810529
2023-10-22 00:00:00.000,dackieswap,1688.0,0.22534128257636638
2023-10-22 00:00:00.000,dodo,3468.0,0.46296419903722674
2023-10-22 00:00:00.000,fraxswap,518.0,0.06915093861052002
2023-10-22 00:00:00.000,gmx,2568.0,0.3428177806019603
2023-10-22 00:00:00.000,hashflow,2375.0,0.3170530486486198
2023-10-22 00:00:00.000,kyberswap,5321.0,0.7103323249933919
2023-10-22 00:00:00.000,level-finance,46.0,0.006140816942246952
2023-10-22 00:00:00.000,maverick,5161.0,0.6889729617160113
2023-10-22 00:00:00.000,pancakeswap,363668.0,48.54823077724053
2023-10-22 00:00:00.000,pangolin,3746.0,0.5000760927316756
2023-10-22 00:00:00.000,quickswap,53433.0,7.133092862501769
2023-10-22 00:00:00.000,ramses-v2,4141.0,0.5528070208227093
2023-10-22 00:00:00.000,sparta,597.0,0.07969712422872674
2023-10-22 00:00:00.000,sushiswap,18606.0,2.483826957118408
2023-10-22 00:00:00.000,swapbased,1282.0,0.1711418982600129
2023-10-22 00:00:00.000,synthetix,36.0,0.0048058567374106576
2023-10-22 00:00:00.000,trader joe,17316.0,2.3116170906945266
2023-10-22 00:00:00.000,uniswap,198890.0,26.551023513989048
2023-10-22 00:00:00.000,velodrome,7560.0,1.0092299148562383
2023-10-22 00:00:00.000,voodoo,3.0,0.00040048806145088817
2023-10-22 00:00:00.000,woofi,10506.0,1.4025091912010104
2023-10-22 00:00:00.000,zyberswap,1159.0,0.15472188774052645
2023-10-23 00:00:00.000,aerodrome,4366.0,0.4302605411861631
2023-10-23 00:00:00.000,alienbase,1057.0,0.10416522950842289
2023-10-23 00:00:00.000,balancer,11457.0,1.1290643656367088
2023-10-23 00:00:00.000,baseswap,11985.0,1.181097706393991
2023-10-23 00:00:00.000,beethoven-x,758.0,0.07469937934473468
2023-10-23 00:00:00.000,biswap,17272.0,1.7021209499238223
2023-10-23 00:00:00.000,camelot,13362.0,1.3167982939371303
2023-10-23 00:00:00.000,curve,3818.0,0.3762562405517111
2023-10-23 00:00:00.000,dackieswap,2586.0,0.2548451121180526
2023-10-23 00:00:00.000,dodo,8628.0,0.8502720910110433
2023-10-23 00:00:00.000,fraxswap,889.0,0.08760916654019674
2023-10-23 00:00:00.000,gmx,4750.0,0.4681029708278228
2023-10-23 00:00:00.000,hashflow,3963.0,0.390545699661192
2023-10-23 00:00:00.000,kyberswap,9036.0,0.8904796725053068
2023-10-23 00:00:00.000,level-finance,773.0,0.07617759925261201
2023-10-23 00:00:00.000,maverick,6190.0,0.610012081984047
2023-10-23 00:00:00.000,pancakeswap,466355.0,45.958349675875645
2023-10-23 00:00:00.000,pangolin,4980.0,0.49076900941527535
2023-10-23 00:00:00.000,quickswap,74855.0,7.376810080277196
2023-10-23 00:00:00.000,ramses-v2,5235.0,0.51589874784919
2023-10-23 00:00:00.000,sparta,719.0,0.0708560075842536
2023-10-23 00:00:00.000,sushiswap,23863.0,2.3516507774451236
2023-10-23 00:00:00.000,swapbased,1129.0,0.1112606850662341
2023-10-23 00:00:00.000,synthetix,13.0,0.0012811239201603573
2023-10-23 00:00:00.000,trader joe,23428.0,2.308782400116681
2023-10-23 00:00:00.000,uniswap,288563.0,28.437304751787167
2023-10-23 00:00:00.000,velodrome,8616.0,0.8490895150847414
2023-10-23 00:00:00.000,voodoo,1.0,9.854799385848903e-05
2023-10-23 00:00:00.000,woofi,13908.0,1.3706054985838652
2023-10-23 00:00:00.000,zyberswap,2179.0,0.2147360786176476
2023-10-24 00:00:00.000,aerodrome,4108.0,0.3604808400221483
2023-10-24 00:00:00.000,alienbase,1158.0,0.10161558245999215
2023-10-24 00:00:00.000,balancer,13132.0,1.1523452753580457
2023-10-24 00:00:00.000,baseswap,11802.0,1.0356365321181584
2023-10-24 00:00:00.000,beethoven-x,857.0,0.07520255109517554
2023-10-24 00:00:00.000,biswap,19549.0,1.7154430237568106
2023-10-24 00:00:00.000,camelot,15989.0,1.4030496959868866
