DATE,PLATFORM,PERIOD,VOLUME_USD,SWAPS,UNIQUE_SWAPPERS,ACTIVE_POOLS
2023-07-18 00:00:00.000,uniswap-v3,no fee,779857839.45,281740,97367,3049
2023-07-19 00:00:00.000,uniswap-v2,no fee,79914745.39,190754,47081,3853
2023-07-19 00:00:00.000,uniswap-v3,no fee,690044438.93,258404,87118,3002
2023-07-20 00:00:00.000,uniswap-v2,no fee,98485959.08,200889,50036,3763
2023-07-20 00:00:00.000,uniswap-v3,no fee,800724976.6,264827,82687,3111
2023-07-21 00:00:00.000,uniswap-v2,no fee,101078537.4,204218,48823,3727
2023-07-21 00:00:00.000,uniswap-v3,no fee,509265155.43,218456,79228,2981
2023-07-22 00:00:00.000,uniswap-v2,no fee,92819193.33,203434,48206,3943
2023-07-22 00:00:00.000,uniswap-v3,no fee,476326053.97,195628,81902,3044
2023-07-23 00:00:00.000,uniswap-v2,no fee,106878405.06,213081,49903,3959
2023-07-23 00:00:00.000,uniswap-v3,no fee,383936298.98,206619,82179,3113
2023-07-24 00:00:00.000,uniswap-v2,no fee,97834693.6,214438,51317,3682
2023-07-24 00:00:00.000,uniswap-v3,no fee,677598217.27,242999,85697,3176
2023-07-25 00:00:00.000,uniswap-v2,no fee,80632224.25,219377,50730,3848
2023-07-25 00:00:00.000,uniswap-v3,no fee,406838120.82,215920,81562,3131
2023-07-26 00:00:00.000,uniswap-v2,no fee,74303039.59,194130,48699,3959
2023-07-26 00:00:00.000,uniswap-v3,no fee,715715169.54,248062,87035,3046
2023-07-27 00:00:00.000,uniswap-v2,no fee,93976148,210732,52749,3747
2023-07-27 00:00:00.000,uniswap-v3,no fee,491519384.28,219964,79459,2998
2023-07-28 00:00:00.000,uniswap-v2,no fee,90379787.26,198522,50805,3718
2023-07-28 00:00:00.000,uniswap-v3,no fee,358512853.52,237200,88751,2907
2023-07-29 00:00:00.000,uniswap-v2,no fee,64268677.14,181145,49109,4086
2023-07-29 00:00:00.000,uniswap-v3,no fee,215563887.05,214221,81673,2907
2023-07-30 00:00:00.000,uniswap-v2,no fee,69740248.31,137136,44949,3774
2023-07-30 00:00:00.000,uniswap-v3,no fee,538792759.55,240110,82741,3084
2023-07-31 00:00:00.000,uniswap-v2,no fee,69144061.36,147106,45771,3725
2023-07-31 00:00:00.000,uniswap-v3,no fee,662203475.45,256717,87619,3068
2023-08-01 00:00:00.000,uniswap-v2,no fee,65553691.83,177513,48173,3992
2023-08-01 00:00:00.000,uniswap-v3,no fee,858510139.48,268358,78462,3178
2023-08-02 00:00:00.000,uniswap-v2,no fee,60539107.4,201193,49982,3800
2023-08-02 00:00:00.000,uniswap-v3,no fee,642600287.36,254080,76830,3027
2023-08-03 00:00:00.000,uniswap-v2,no fee,60557408.19,184018,48706,4025
2023-08-03 00:00:00.000,uniswap-v3,no fee,469279083.93,249883,83308,3070
2023-08-04 00:00:00.000,uniswap-v2,no fee,57342506.99,164429,45554,4100
2023-08-04 00:00:00.000,uniswap-v3,no fee,517913806.95,243823,79870,3113
2023-08-05 00:00:00.000,uniswap-v2,no fee,56991760.11,156855,43051,3853
2023-08-05 00:00:00.000,uniswap-v3,no fee,234078175.27,216539,79534,3000
2023-08-06 00:00:00.000,uniswap-v2,no fee,54273414.07,147532,41602,3919
2023-08-06 00:00:00.000,uniswap-v3,no fee,308265077.35,207541,76625,2993
2023-08-07 00:00:00.000,uniswap-v2,no fee,62670567.49,182847,47276,3784
2023-08-07 00:00:00.000,uniswap-v3,no fee,622585566.42,233642,78689,3170
2023-08-08 00:00:00.000,uniswap-v2,no fee,65294509.38,180433,47165,3711
2023-08-08 00:00:00.000,uniswap-v3,no fee,791583956.14,307445,80740,3294
2023-08-09 00:00:00.000,uniswap-v2,no fee,65862467.95,176586,48096,3810
2023-08-09 00:00:00.000,uniswap-v3,no fee,590062100.83,258563,81861,3256
2023-08-10 00:00:00.000,uniswap-v2,no fee,59289210.24,191815,48965,3784
2023-08-10 00:00:00.000,uniswap-v3,no fee,415038810.49,216321,75247,3198
2023-08-11 00:00:00.000,uniswap-v2,no fee,69558110.8,183050,48685,3913
2023-08-11 00:00:00.000,uniswap-v3,no fee,357718889.93,199205,79889,3113
2023-08-12 00:00:00.000,uniswap-v2,no fee,61904522.84,182144,47799,4019
2023-08-12 00:00:00.000,uniswap-v3,no fee,188602904.81,169708,72086,3045
2023-08-13 00:00:00.000,uniswap-v2,no fee,65188669.81,177286,46695,4001
2023-08-13 00:00:00.000,uniswap-v3,no fee,286906570.79,180708,71745,3075
2023-08-14 00:00:00.000,uniswap-v2,no fee,79158458.08,185923,48649,3709
2023-08-14 00:00:00.000,uniswap-v3,no fee,421827413.54,192489,69123,3084
2023-08-15 00:00:00.000,uniswap-v2,no fee,97634288.25,189113,51216,3707
2023-08-15 00:00:00.000,uniswap-v3,no fee,487721530.21,225438,79601,3313
2023-08-16 00:00:00.000,uniswap-v2,no fee,118621751.98,206465,53465,3736
2023-08-16 00:00:00.000,uniswap-v3,no fee,575209452.11,254869,75209,3266
2023-08-17 00:00:00.000,uniswap-v2,no fee,139439621.02,177004,52049,3612
2023-08-17 00:00:00.000,uniswap-v3,no fee,1911245852.7,309689,75837,3434
2023-08-18 00:00:00.000,uniswap-v2,no fee,94437703.27,181848,49958,3925
2023-08-18 00:00:00.000,uniswap-v3,no fee,980187340.58,263905,77993,3617
2023-08-19 00:00:00.000,uniswap-v2,no fee,62742501.98,167804,44746,4046
2023-08-19 00:00:00.000,uniswap-v3,no fee,391431741.4,180106,72343,3133
2023-08-20 00:00:00.000,uniswap-v2,no fee,68213412.28,175980,45813,3837
2023-08-20 00:00:00.000,uniswap-v3,no fee,354761510.89,168721,66902,3023
2023-08-21 00:00:00.000,uniswap-v2,no fee,62598025.24,191877,48391,3773
2023-08-21 00:00:00.000,uniswap-v3,no fee,543938113.48,211284,77974,3134
2023-08-22 00:00:00.000,uniswap-v2,no fee,86009845.33,180873,48244,3524
