DATE,CHAIN,PERIOD,NEW_USERS
2023-07-10 00:00:00.000,Polygon,no fee,7950
2023-07-11 00:00:00.000,Arbitrum,no fee,8835
2023-07-11 00:00:00.000,BSC,no fee,5045
2023-07-11 00:00:00.000,Ethereum,no fee,8164
2023-07-11 00:00:00.000,Optimism,no fee,6400
2023-07-11 00:00:00.000,Polygon,no fee,7027
2023-07-12 00:00:00.000,Arbitrum,no fee,8157
2023-07-12 00:00:00.000,Avalanche,no fee,47
2023-07-12 00:00:00.000,BSC,no fee,5652
2023-07-12 00:00:00.000,Ethereum,no fee,8902
2023-07-12 00:00:00.000,Optimism,no fee,6084
2023-07-12 00:00:00.000,Polygon,no fee,8055
2023-07-13 00:00:00.000,Arbitrum,no fee,7504
2023-07-13 00:00:00.000,Avalanche,no fee,203
2023-07-13 00:00:00.000,BSC,no fee,5937
2023-07-13 00:00:00.000,Ethereum,no fee,7523
2023-07-13 00:00:00.000,Optimism,no fee,5445
2023-07-13 00:00:00.000,Polygon,no fee,8209
2023-07-14 00:00:00.000,Arbitrum,no fee,7741
2023-07-14 00:00:00.000,Avalanche,no fee,237
2023-07-14 00:00:00.000,BSC,no fee,5426
2023-07-14 00:00:00.000,Ethereum,no fee,8155
2023-07-14 00:00:00.000,Optimism,no fee,6909
2023-07-14 00:00:00.000,Polygon,no fee,7986
2023-07-15 00:00:00.000,Arbitrum,no fee,7285
2023-07-15 00:00:00.000,Avalanche,no fee,146
2023-07-15 00:00:00.000,BSC,no fee,5136
2023-07-15 00:00:00.000,Ethereum,no fee,7332
2023-07-15 00:00:00.000,Optimism,no fee,7544
2023-07-15 00:00:00.000,Polygon,no fee,5758
2023-07-16 00:00:00.000,Arbitrum,no fee,6719
2023-07-16 00:00:00.000,Avalanche,no fee,288
2023-07-16 00:00:00.000,BSC,no fee,5057
2023-07-16 00:00:00.000,Ethereum,no fee,6741
2023-07-16 00:00:00.000,Optimism,no fee,9211
2023-07-16 00:00:00.000,Polygon,no fee,5663
2023-07-17 00:00:00.000,Arbitrum,no fee,6272
2023-07-17 00:00:00.000,Avalanche,no fee,281
2023-07-17 00:00:00.000,BSC,no fee,4794
2023-07-17 00:00:00.000,Ethereum,no fee,7158
2023-07-17 00:00:00.000,Optimism,no fee,5671
2023-07-17 00:00:00.000,Polygon,no fee,6685
